Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
Is any school-aged child in your   household currently enrolled in a school feeding program supported by the carbon finance project?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many school-aged children in your household are enrolled? Are any school-aged children in your household not enrolled and if so why not?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Which facility did you use and for what purpose? How frequently do you use it?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Is the latrine accessible to both male and female users?,,,No,Number of carbon-finance-supported school and community latrines built and functional within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-and-community-latrines-built-and-functional-within-the-pro-32c60bfb014e8078a259fdc46df538a5?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What was the action you took, and what goal were you working toward?",Long Text,Follow-up description verification for goal-directed action. Requires naming the specific action and the goal. Shown if preceding question = Yes.,Yes,Proportion of learners who report taking at least one verifiable goal-directed action toward a stated education or livelihood goal in the 6 months prior to the survey (https://www.notion.so/Proportion-of-learners-who-report-taking-at-least-one-verifiable-goal-directed-action-toward-a-state-33e60bfb014e813bab83de62ae7f5324?pvs=21),"In the last 6 months, have you done something specific to move toward a goal you have for your education or work future?",,No,,Communities affected by the project,In Development,Not started,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"In the last 6 months, have you done something specific to move toward a goal you have for your education or work future?",Multiple Choice,Primary screener for goal-directed action indicator. Triggers follow-up if Yes.,No,Proportion of learners who report taking at least one verifiable goal-directed action toward a stated education or livelihood goal in the 6 months prior to the survey (https://www.notion.so/Proportion-of-learners-who-report-taking-at-least-one-verifiable-goal-directed-action-toward-a-state-33e60bfb014e813bab83de62ae7f5324?pvs=21),,,Yes,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),Communities affected by the project,In Development,Not started,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"Think about who you are. Can you name something about yourself that is important to your identity, for example your community, your values, a skill, a role in your family, or something else that matters to you?",Multiple Choice,Primary screener for identity markers naming indicator. Triggers follow-up for description if Yes.,No,"Proportion of learners who can name and describe at least two identity markers that are meaningful to them, at the time of survey (https://www.notion.so/Proportion-of-learners-who-can-name-and-describe-at-least-two-identity-markers-that-are-meaningful-t-33e60bfb014e8118abcee05abcaaf8f2?pvs=21)",,,Yes,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),Communities affected by the project,In Development,Not started,"Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"Please name at least two things about yourself that are important to who you are, and say briefly why each one matters to you.",Long Text,Follow-up description verification for identity markers naming indicator. Requires at least two identity markers each with a brief explanation. Shown if preceding question = Yes.,Yes,"Proportion of learners who can name and describe at least two identity markers that are meaningful to them, at the time of survey (https://www.notion.so/Proportion-of-learners-who-can-name-and-describe-at-least-two-identity-markers-that-are-meaningful-t-33e60bfb014e8118abcee05abcaaf8f2?pvs=21)","Think about who you are. Can you name something about yourself that is important to your identity, for example your community, your values, a skill, a role in your family, or something else that matters to you?",,No,,Communities affected by the project,In Development,Not started,"Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
How much do you agree with this statement: I feel good about who I am.,Scale,Self-worth item 1 of the self-worth scale. Part of the positive sense of self-worth indicator across programme-defined identity dimensions.,No,"Proportion of learners who report a positive sense of self-worth across at least two programme-defined identity dimensions, measured on a validated scale at the time of survey (https://www.notion.so/Proportion-of-learners-who-report-a-positive-sense-of-self-worth-across-at-least-two-programme-defin-32060bfb014e80e3be16c5238a4746ad?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),Communities affected by the project,In Development,Not started,"Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"Is there a specific type of work, job, or way of earning a living that you are actively getting ready for right now?",Multiple Choice,Primary screener for occupation or livelihood aspiration indicator. Triggers follow-up if Yes.,No,"Proportion of learners who can name a specific occupation, type of enterprise, or income-generating activity they are actively preparing for, at the time of survey (https://www.notion.so/Proportion-of-learners-who-can-name-a-specific-occupation-type-of-enterprise-or-income-generating--33d60bfb014e80888f93c0c81d3db282?pvs=21)",,,Yes,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),Communities affected by the project,In Development,Not started,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"When you think about your life five years from now, how do you feel about what it will be like?",Multiple Choice,Captures generalised optimism about personal future. Item 1 of 2 for the positive future orientation indicator.,No,"Proportion of programme youth who report adequate positive future orientation across generalised optimism and personal agency belief dimensions, measured on a structured instrument at the time of survey (https://www.notion.so/Proportion-of-programme-youth-who-report-adequate-positive-future-orientation-across-generalised-opt-33e60bfb014e812b90a6e5c7d966321b?pvs=21)",,,Yes,,Communities affected by the project,In Development,Not started,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
How much do you agree with this statement: I believe that the choices I make can improve my life.,Scale,Captures personal agency belief in life improvement. Item 2 of 2 for the positive future orientation indicator.,No,"Proportion of programme youth who report adequate positive future orientation across generalised optimism and personal agency belief dimensions, measured on a structured instrument at the time of survey (https://www.notion.so/Proportion-of-programme-youth-who-report-adequate-positive-future-orientation-across-generalised-opt-33e60bfb014e812b90a6e5c7d966321b?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),Communities affected by the project,In Development,Not started,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
How much do you agree with this statement: I feel accepted and respected for who I am in the places I spend time.,Scale,Self-worth item 3. Captures social acceptance dimension of self-worth. Third programme-defined identity dimension.,No,"Proportion of learners who report a positive sense of self-worth across at least two programme-defined identity dimensions, measured on a validated scale at the time of survey (https://www.notion.so/Proportion-of-learners-who-report-a-positive-sense-of-self-worth-across-at-least-two-programme-defin-32060bfb014e80e3be16c5238a4746ad?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),Communities affected by the project,In Development,Not started,"Self-awareness and identity
  formation (https://www.notion.so/Self-awareness-and-identity-formation-31260bfb014e80bf851ce5cfa98a8fc6?pvs=21)",Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
